code,name,price_שוהם 91,price_per_pack_שוהם 91,promo_price_שוהם 91,price_רעננה 45,price_per_pack_רעננה 45,promo_price_רעננה 45,price_אופקים 47,price_per_pack_אופקים 47,promo_price_אופקים 47,price_לינקולן תל אביב 44,price_per_pack_לינקולן תל אביב 44,promo_price_לינקולן תל אביב 44,price_ברנע 41,price_per_pack_ברנע 41,promo_price_ברנע 41
7290108357653,סנובון bubbles ג`ל בניחוח אוקיינוס שליש,,,,,,,,,,16.90,16.9,,,,
7290108357691,תחליב רחצה כיף לעור עדין ומניעת גירויים,,,,,,,,,,12.90,12.9,20,12.90,12.9,20
7290108357851,כיף ג`ל רחצה מועשר בשמן קוקוס 700 מל,,,,,,,,,,12.90,12.9,20,,,
7290108358094,קרמה תחליב רחצה שיאה קוקוי 500 מל,,,,,,,,,,13.90,13.9,,,,
7290108358117,פרש הום מקלות ריחניים לבית בניחוח כביסה,,,,,,,,,,21.90,21.9,,,,
7290108358469,שטיפת מי פה 500 מל אורביטול,,,,,,,,,,21.90,21.9,,,,
7290108359114,סנו סושי -חמגשית אלומיניום עם מכסה,,,,,,,,,,12.90,12.9,,,,
7290108359169,סנו סושי -תבניות אלומיניום קוטר 28 סמ,,,,,,,,,,11.90,11.9,,,,
7290108359190,סנו סושי מגבות נייר בגליל כפול 4=12,,,,,,,,,,25.90,25.9,,,,
7290108359206,סושי 10 תבניות אלומיניום מדיום,,,,,,,,,,11.90,11.9,,,,
7290108502251,קרקרים 250 גר`-טבעי  וילי פוד,,,,,,,,,,9.90,9.9,,,,
7290108502268,קרקרים 250  גר`מליחות מעודנת וילי פוד,,,,,,,,,,9.90,9.9,,,,
7290108504293,מנצ`גו צ`אנק 150 גר` וילי פוד,,,,,,,,,,21.90,21.9,,21.90,21.9,
7290108505689,גבינת גרנה פדנו מגורדת 100  גר`וילי פוד,,,,,,,,,,14.90,14.9,,,,
7290108506037,יוגורט בטעם טבעי (150  גר`)5%,,,,,,,,,,6.50,6.5,,,,
7290108506631,רביולי גבינות 250 גרם,,,,,,,,,,13.90,13.9,,,,
7290108506655,רביולי ריקוטה ותרד 250 גרם,,,,,,,,,,13.90,13.9,,,,
7290108509984,רוטב סויה 300 מל מנת השף,,,,,,,,,,9.30,9.3,,,,
7290108509991,רוטב טריאקי 300 מל מנת השף,,,,,,,,,,9.30,9.3,,,,
7290109580562,ארוחת תאי צ`יקן נודלס 380 גר`,,,,,,,,,,35.90,35.9,27.90,,,
7290109580623,ארוחת נודלס עוף סצ`ואן 350 גר`,,,,,,,,,,35.90,35.9,27.90,,,
7290109640464,משומשו פתיתים טבעוניים בסגנון פרמז`ן 150,,,,,,,,,,19.90,19.9,,,,
7290109640785,מאפה בצק פילאס טבעוני במילוי סגנון פיצה,,,,,,,,,,27.90,27.9,,27.90,27.9,
7290109921723,מסיר אבנית לכלוך וריחות מהאסלה דורגול 75,,,,,,,,,,19.90,19.9,,,,
7290109923277,אסטוניש פרימיום מרסס מראות ושמשות 750 מ,,,,,,,,,,15.90,15.9,,,,
7290109923369,דורגול נוסחה מרוכזת בחדר אמבט 750 מל,,,,,,,,,,29.90,29.9,,,,
7290109923550,אסטוניש אבקת הפלא מסיר כתמים 625 מל,,,,,,,,,,23.90,23.9,,,,
7290109923994,אסטוניש פרימיום בקרם לחדרי אמבטיה 500 מ,,,,,,,,,,20.90,20.9,,,,
7290109924106,משחת אסטוניש פרימיום עם  עוצמה( 150 גר`),,,,,,,,,,19.90,19.9,,19.90,19.9,
7290110110635,ספרייט ליים 500 מל,,,,,,,,,,8.90,8.9,,,,
7290110114404,נורדיק סודה טעם תפוח 250 מל,,,,,,,,,,3.90,3.9,,3.90,3.9,
7290110116064,פאנטה זירו פירות ירוק 1.5 ליטר,,,,,,,,,,8.90,8.9,16,8.90,8.9,16
7290110117009,שלישיית קרטוניות פריגת 200 מל טעם פירות,,,,,,,,,,14.90,14.9,,14.90,14.9,
7290110117580,תה קר בטעם תפוח קינמון פיוז-טי (500 מל),,,,,,,,,,8.90,8.9,,,,
7290110117672,ספרייט זירו לימון נענע 500 מל,,,,,,,,,,8.90,8.9,,,,
7290110117863,נורדיק זירו אפרסק מוגז 250 מל,,,,,,,,,,4.90,4.9,,,,
7290110326227,יופלה און טופ קורנפלקס,,,,,,,,,,6.30,6.3,,,,
7290110328504,טריו מיקס מוצרלה סקנדינבית וגאודה,,,,,,,,,,31.90,31.9,,,,
7290110555788,אבקת קפוצ`ינו וניל עלית (200 גרם),,,,,,,,,,22.90,22.9,,22.90,22.9,
7290110563431,משקה קפה קר בסגנון קלאסי 1.6% (230 גר`),,,,,,,,,,8.60,8.6,17,,,
7290111287015,בקבוק טריטן שקוף 708 מל ורוד,,,,,,,,,,29.90,29.9,,29.90,29.9,
7290111355288,יוגטה סוכריות ג`לי פירות 350 גר`,,,,,,,,,,13.90,13.9,,,,
7290111356223,יוגטה מקלות מבריקים ממולאים פירות 190 גר,,,,,,,,,,8.90,8.9,,,,
7290111356520,יוגטה סוכריות טופי חגיגה בטעמי פירות,,,,,,,,,,19.90,19.9,,,,
7290111356537,יוגטה סוכריות טופי שטוחות טעמי פירות,,,,,,,,,,12.90,12.9,,12.90,12.9,
7290111357299,יוגטה גומי דובונים מבריק 150 גר,,,,,,,,,,10.90,10.9,,,,
7290111357329,יוגטה גומי קולה מבריק 150 גר,,,,,,,,,,10.90,10.9,,,,
7290111564239,מאגדת מיני קראנץ וניל,,,,,,,,,,30.90,30.9,,,,
7290111932502,קולגיט משחת שיינים אופטיק וייט אקספרט וי,,,,,,,,,,27.90,27.9,,27.90,27.9,
7290112004710,וניש ג`ליסימו לבן 750 מל,,,,,,,,,,20.90,20.9,,,,
7290112005052,וניש אבקה לכביסה לבנה,,,,,,,,,,41.90,41.9,34.90,41.90,41.9,34.90
7290112005526,אירוויק אקטיב פרש מילוי בניחוח כותנה כבי,,,,,,,,,,20.90,20.9,16.90,,,
7290112005533,אירוויק אקטיב פרש מילוי בניחוח יער גשם,,,,,,,,,,20.90,20.9,16.90,20.90,20.9,16.90
7290112006219,אבקת וניש קליה להסרת כתמים לבנה,,,,,,,,,,41.90,41.9,,,,
