code,name,price_שוהם 91,price_per_pack_שוהם 91,promo_price_שוהם 91,price_רעננה 45,price_per_pack_רעננה 45,promo_price_רעננה 45,price_אופקים 47,price_per_pack_אופקים 47,promo_price_אופקים 47,price_לינקולן תל אביב 44,price_per_pack_לינקולן תל אביב 44,promo_price_לינקולן תל אביב 44,price_ברנע 41,price_per_pack_ברנע 41,promo_price_ברנע 41
7290003643769,עדשים אדומות סוגת (500 גרם),9.50,9.5,7.90,9.50,9.5,,9.50,9.5,7.90,9.50,9.5,,9.50,9.5,
7290003643776,פופקורן סוגת (500 גרם),7.30,7.3,10,7.30,7.3,10,7.30,7.3,10,7.30,7.3,10,7.30,7.3,10
7290003643820,חומוס ענק סוגת (500 גרם),13.50,13.5,,13.50,13.5,,13.50,13.5,,13.50,13.5,,13.50,13.5,
7290003681051,פקאן סיני מסוכר 100 גר` מיה,19.90,19.9,,,,,19.90,19.9,,,,,,,
7290003681303,שעועית מעורבת 500  גר`מיה,12.50,12.5,,,,,,,,,,,,,
7290003681365,קישוט לעוגה 70  גר`צבעוני,5.50,5.5,,,,,5.50,5.5,,5.50,5.5,,,,
7290003681693,חומוס לבן ענק מיה (500 גרם),12.50,12.5,15,,,,,,,12.50,12.5,15,,,
7290003681716,גריסי פנינה מיה (500 גרם),5.50,5.5,12,,,,,,,5.50,5.5,12,5.50,5.5,12
7290003726592,טופו ויילר 300 גר` מתובל פסטו,13.90,13.9,,,,,13.90,13.9,,,,,13.90,13.9,
7290003726615,טופו ויילר 300 גר` טופו הבית,13.90,13.9,,13.90,13.9,,13.90,13.9,,13.90,13.9,,13.90,13.9,
7290003726998,נאגטס טופו תירס 475 גר משק ויילר,28.90,28.9,,,,,,,,,,,,,
7290003804252,תיבולית הודי בדצ 12x12x72 גרם קנור,10.90,10.9,,10.90,10.9,,10.90,10.9,18,10.90,10.9,,10.90,10.9,
7290003804320,תיבולית שום פטרוזליה בדצ72X12ג,10.90,10.9,,10.90,10.9,,10.90,10.9,18,,,,,,
7290003804368,תיבולית בזיליקום בדצ ADR2,10.90,10.9,,,,,10.90,10.9,18,10.90,10.9,,10.90,10.9,
7290003804382,תיבולית פטריות בדצ 12x12x72 גרם קנור,10.90,10.9,,10.90,10.9,,,,,10.90,10.9,,10.90,10.9,
7290003805501,פתית בסגנון שוודי תלמה (300 גרם),19.90,19.9,15.90,19.90,19.9,,19.90,19.9,30,19.90,19.9,,19.90,19.9,
7290003805587,פתית חיטה מלאה תלמה (250 גרם),19.90,19.9,15.90,19.90,19.9,,19.90,19.9,30,19.90,19.9,,19.90,19.9,
7290003806591,דאודורנט ספריי מלפפונים דאב (150 מל),16.90,16.9,14.90,16.90,16.9,,16.90,16.9,28,,,,16.90,16.9,
7290003864478,סרדינים בשמן צמחי וילי פוד (110 גרם),6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,
7290003864485,סרדינים ברוטב עגבניות וילי פוד (110 גרם),6.30,6.3,,6.30,6.3,,6.30,6.3,,,,,,,
7290003864492,סרדין בשמן צמחי 110 גר`,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,
7290003882922,עלי גפן ממולאים באורז 400 גר`.,15.90,15.9,,15.90,15.9,,15.90,15.9,12.90,15.90,15.9,,15.90,15.9,
7290003903955,שוקולד פרה חלב עם קרם חלב עלית (100 גרם),8.50,8.5,20,8.50,8.5,20,8.50,8.5,20,8.50,8.5,20,8.50,8.5,20
7290003959068,פלפלים חריפים ברוטב 200 גר` גורמה שמיר,13.90,13.9,,13.90,13.9,,13.90,13.9,,,,,13.90,13.9,
7290003962037,שום כתוש 200 גר`.,14.50,14.5,,,,,14.50,14.5,,,,,,,
7290003962075,שום כתוש 1 קג,33.50,33.5,,,,,33.50,33.5,,,,,,,
7290003962099,פלפל צומה 200 גר`,14.50,14.5,,14.50,14.5,,14.50,14.5,,,,,,,
7290003962112,שום כתוש 400 גר`,20.50,20.5,,,,,,,,,,,,,
7290003962419,עמבה 250 גר`,14.50,14.5,,,,,14.50,14.5,,,,,,,
7290003976607,אקונומיקה סמיכה לבנדר 4 ליטר עם פקק ביטח,12.90,12.9,10.90,12.90,12.9,10.90,12.90,12.9,10.90,12.90,12.9,10.90,12.90,12.9,10.90
7290003976614,אקונומיקה סמיכה פרחים 4 ליטר עם פקק ביטח,12.90,12.9,10.90,,,,12.90,12.9,10.90,,,,,,
7290003989096,חצילים פיקנטי אחלה (500 גרם),17.50,17.5,,17.50,17.5,,17.50,17.5,,17.50,17.5,,17.50,17.5,
7290003989539,רביולי במילוי גבינות שטראוס (400 גרם),19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,
7290003996018,חסה חסלט,7.90,7.9,,,,,7.90,7.9,,,,,,,
7290003996049,פטרוזליה חסלט,6.90,6.9,,,,,6.90,6.9,,,,,,,
7290003996056,כוסברה חסלט,6.90,6.9,,,,,6.90,6.9,,,,,,,
7290003996063,שמיר חסלט,6.90,6.9,,,,,6.90,6.9,,,,,,,
7290003996070,נענע חסלט,6.90,6.9,,,,,6.90,6.9,,,,,,,
7290003996094,סלרי חסלט,7.90,7.9,,,,,7.90,7.9,,,,,,,
7290003996117,כרוב לבן חסלט,14.90,14.9,,,,,14.90,14.9,,,,,,,
7290003996285,לבבות חסה קיסר חסלט,13.90,13.9,,,,,,,,,,,,,
7290003996568,חסה לאליק חסלט,13.90,13.9,,,,,,,,,,,13.90,13.9,
7290003996575,סלק וואקום שקית 500  גר- חסלט,6.90,6.9,,,,,,,,,,,,,
7290004011338,קצפת מתוקה מוכנה ספריי ריץ` (250 מל),12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,
7290004011345,קצפת 250 מל פרווה ארוסול,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,
7290004023041,לחם שיפון מחמצת 750  גר`דר מרק,14.90,14.9,,,,,14.90,14.9,,14.90,14.9,,,,
7290004033484,לחמניות חלות חלומית מארז,17.90,17.9,,17.90,17.9,,,,,17.90,17.9,,17.90,17.9,
7290004033507,לחמניות המבורגר 8 יח`,16.90,16.9,,16.90,16.9,,,,,,,,16.90,16.9,
7290004033514,לחמניות ביס עננים,16.90,16.9,,16.90,16.9,,16.90,16.9,,16.90,16.9,,16.90,16.9,
7290004033521,לחמניות הבורגריה עננים,13.90,13.9,,13.90,13.9,,13.90,13.9,,13.90,13.9,,,,
7290004033569,לחם פרנה 400 גר,14.90,14.9,,14.90,14.9,,14.90,14.9,,14.90,14.9,,,,
7290004033583,לחמניות חלומית ברמן,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,
7290004033613,לחמניות בייבי המבוגר ברמן,13.90,13.9,,,,,,,,,,,,,
7290004033620,מארז לחמניות קשר 400 גר`ברמן,13.90,13.9,,,,,,,,13.90,13.9,,,,
7290004033637,לחמניות שומשום ארוכות,13.90,13.9,,13.90,13.9,,,,,,,,13.90,13.9,
7290004033651,הבורגריה -לחמניות המבורגר 4 יח,13.90,13.9,,13.90,13.9,,,,,13.90,13.9,,13.90,13.9,
7290004033682,שמיניות מזונות 4  יח`360 גר`,13.90,13.9,,13.90,13.9,,,,,13.90,13.9,,,,
7290004033750,לחמניות עננים מתוקות ורכות בסגנון בריוש,13.90,13.9,,13.90,13.9,,13.90,13.9,,13.90,13.9,,13.90,13.9,
7290004033767,לחם אקטיב+שיבולת  שועל ברמן (500גרם),15.90,15.9,,15.90,15.9,,,,,15.90,15.9,,,,
7290004061487,טבעות עוף700  גר`טופ שף,15.90,15.9,,,,,15.90,15.9,,15.90,15.9,,,,
7290004061494,נגיסי עוף 700  גר`טופ שף,15.90,15.9,,,,,15.90,15.9,,15.90,15.9,,15.90,15.9,
7290004063016,מלח שולחן מעולה סלית (1  קג)פיקוח,2,2.0,,2,2.0,,2,2.0,,2,2.0,,2,2.0,
7290004063115,מלח מטבח גס ארזינא (1  קג)פיקוח,2,2.0,,2,2.0,,2,2.0,,2,2.0,,2,2.0,
7290004064174,מלח ההימלאיה דק בצנצנת 1 קג`,18.90,18.9,,18.90,18.9,,18.90,18.9,,18.90,18.9,,18.90,18.9,
7290004064181,מלח ההימלאיה גס בצנצנת 1 קג`,17.90,17.9,,17.90,17.9,,17.90,17.9,,17.90,17.9,,,,
7290004064198,מטחנת מלח אקסטרא תבלינים-ספייסי,17.90,17.9,,,,,,,,,,,,,
7290004064303,מלח אטלנטי בצנצנת 800  גר`מלח הארץ,19.90,19.9,,19.90,19.9,,19.90,19.9,,19.90,19.9,,,,
7290004064389,מלח הימלאיה דק מלחייה 250 גרם,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,,12.90,12.9,
7290004068011,יוגורט כבשים 5% גד (600 גרם),23.90,23.9,,,,,23.90,23.9,,,,,,,
7290004068028,ציזיקי 500 מל,12.90,12.9,,,,,,,,,,,12.90,12.9,
7290004068035,איירן 500 מל מדף,10.90,10.9,,,,,,,,,,,10.90,10.9,
7290004068172,יוגורט עיזים 5% גד (600 גרם),23.90,23.9,,23.90,23.9,,23.90,23.9,,23.90,23.9,,23.90,23.9,
7290004119133,כד יוגורט תנובה 6.5% שון 1.5 ליטר,22.50,22.5,,22.50,22.5,,22.50,22.5,,22.50,22.5,,,,
7290004119225,יוגורט יופלה אננס 3% שומן 150 גרם,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,
7290004120061,קרלו שוניל 1.5% שומן 125 גרם,3.80,3.8,,,,,3.80,3.8,,,,,3.80,3.8,
7290004120108,יוגורט יופלה דיאט דובדבן 0% שומן 150גרם,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,
7290004120566,פיראוס בולגרית גביע 250 ג 24%,28.60,28.6,,28.60,28.6,,28.60,28.6,,28.60,28.6,,28.60,28.6,
7290004120573,פיראוס בולגרית 16% 250 גרם,28.60,28.6,,28.60,28.6,,28.60,28.6,,28.60,28.6,,28.60,28.6,
7290004120634,פיראוס בולגרית 5% 250 ג,28.60,28.6,,28.60,28.6,,28.60,28.6,,28.60,28.6,,28.60,28.6,
7290004121525,מארז יוגורט יופלה פרי תות ואפרסק 8*150,33.90,33.9,,,,,33.90,33.9,,,,,,,
7290004121754,יוגורט יופלה עוגת גבינה ותות 3% 150 גרם,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,,,,
7290004121853,פיראוס קוביות בולגרית 5% 200 גרם,27.60,27.6,,27.60,27.6,,27.60,27.6,,27.60,27.6,,27.60,27.6,
7290004122195,גבינה צהובה גוש חלב 28% שומן 200 גרם,20.40,20.4,,20.40,20.4,,20.40,20.4,,20.40,20.4,,20.40,20.4,
7290004122270,גבינה צהובה עמק 28% שומן פרוס 200 גרם,19.40,19.4,,19.40,19.4,,19.40,19.4,,19.40,19.4,,19.40,19.4,
7290004122348,גבינה צהובה עמק לייט 9% שומן 200 גרם בדצ,21.50,21.5,,21.50,21.5,,21.50,21.5,,21.50,21.5,,21.50,21.5,
7290004122676,פיראוס חמד 5% 250 גרם,23.90,23.9,,23.90,23.9,,23.90,23.9,,23.90,23.9,,,,
7290004122683,אצבעות גבינה צהובה עמק 172 גרם,21.50,21.5,,21.50,21.5,,21.50,21.5,,21.50,21.5,,21.50,21.5,
7290004124205,יוגורט יופלה דיאט תות 0% שומן 150 גרם,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,
7290004125370,שמנת אורגינל 9% 200 מל מהדרין,5.30,5.3,,5.30,5.3,,5.30,5.3,,5.30,5.3,,5.30,5.3,
7290004125400,אשל 4.5% שומן 200 מל מהדרין,1.97,1.97,,1.97,1.97,,1.97,1.97,,1.97,1.97,,1.97,1.97,
7290004125417,גיל 3% 200 מל מהדרין,1.76,1.76,,1.76,1.76,,1.76,1.76,,1.76,1.76,,1.76,1.76,
7290004125455,שמנת חמוצה אורגינל 15% 200 מל,2.81,2.81,,2.81,2.81,,2.81,2.81,,2.81,2.81,,2.81,2.81,
7290004125509,שמנת חמוצה אורגינל 15% שומן חצי מנה,2.20,2.2,,2.20,2.2,,2.20,2.2,,2.20,2.2,,2.20,2.2,
7290004125578,משקה סויה מועשר תנובה ALTERNATIVE,11.90,11.9,,11.90,11.9,,11.90,11.9,,11.90,11.9,,11.90,11.9,
7290004125585,משקה סויה וניל תנובה ALTERNATIVE,11.90,11.9,,11.90,11.9,,11.90,11.9,,11.90,11.9,,11.90,11.9,
7290004125721,שמנת לבישול 15% שומן 250 מל,10.90,10.9,,10.90,10.9,,10.90,10.9,,10.90,10.9,,10.90,10.9,
7290004125738,שמנת מתוקה להקצפה32% 250מל עמיד השף הלבן,8.70,8.7,,8.70,8.7,,,,,8.70,8.7,,8.70,8.7,
7290004125776,גבינה צהובה עמק 28% שומן 400 גרם,35.80,35.8,,35.80,35.8,,35.80,35.8,31.90,35.80,35.8,,35.80,35.8,
7290004126759,יוגורט יופלה דיאט פירות יער 0% 150 גרם,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,,,,
7290004126872,שוקו תנובה בבקבוק 250 מל,7.90,7.9,,7.90,7.9,,7.90,7.9,,,,,,,
7290004127077,קוטג 3% שומן 250 גרם מהדרין,6.10,6.1,,6.10,6.1,,6.10,6.1,,6.10,6.1,,6.10,6.1,
7290004127329,קוטג 5% שומן 250 גרם מהדרין,6.10,6.1,,6.10,6.1,,6.10,6.1,,6.10,6.1,,6.10,6.1,
7290004127336,קוטג 9% שומן 250 גרם מהדרין,6.10,6.1,,6.10,6.1,,6.10,6.1,,6.10,6.1,,6.10,6.1,
7290004127800,גבינה לבנה 5% שומן 500  גר`פיקוח,11.62,11.62,,11.62,11.62,,11.62,11.62,,11.62,11.62,,11.62,11.62,
7290004127817,גבינה לבנה 9% שומן 500 גרם מהדרין,12.60,12.6,,,,,12.60,12.6,,12.60,12.6,,12.60,12.6,
7290004127862,גבינה לבנה 5% שומן 750 גרם מהדרין,17.43,17.43,,17.43,17.43,,17.43,17.43,,17.43,17.43,,17.43,17.43,
7290004128333,פיראוס לאבנה גביע 9% 500 גרם,25.60,25.6,,25.60,25.6,,,,,25.60,25.6,,25.60,25.6,
7290004128340,קרם גבינת שמנת %5 בטעם טבעי 200 גרם,15.30,15.3,,,,,15.30,15.3,,15.30,15.3,,15.30,15.3,
7290004128364,קרם גבינת שמנת 5% עם זיתיםירוקים200גרם,15.30,15.3,,,,,15.30,15.3,,,,,15.30,15.3,
7290004128432,פתיתים מיוחדים לפיצה על בסיס גבינה,27.60,27.6,,27.60,27.6,,,,,27.60,27.6,,27.60,27.6,
7290004129101,נפוליאון טבעי 225 גרם,17.40,17.4,,17.40,17.4,,17.40,17.4,,17.40,17.4,,17.40,17.4,
7290004129156,נפוליאון שום שמיר 225 גרם,17.40,17.4,,17.40,17.4,,17.40,17.4,,17.40,17.4,,17.40,17.4,
7290004129736,יוגורט יופלה לבן מעודן 1.5% 200 גרם,5.30,5.3,,5.30,5.3,,5.30,5.3,,,,,5.30,5.3,
7290004129767,יופלה לבן 3% מאגדת 8*150 גרם,20.40,20.4,,,,,20.40,20.4,,20.40,20.4,,20.40,20.4,
7290004130794,משקה סויה במתיקות מופחתת ALTERNATIVE,11.90,11.9,,11.90,11.9,,11.90,11.9,,11.90,11.9,,11.90,11.9,
7290004130916,יוגורט יופלה פירות יער בשמנת 3% 150 גרם,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,,6.30,6.3,
7290004131074,חלב תנובה 3% שומן קרטון 1 ליטר,7.28,7.28,,7.28,7.28,,7.28,7.28,,7.28,7.28,,7.28,7.28,
7290004131814,פיראוס צפתית 5% מעודנת 200 גרם,19.40,19.4,,19.40,19.4,,19.40,19.4,,19.40,19.4,,19.40,19.4,
7290004132903,גבינה לבנה 3% 250 גרם בדצ,6.30,6.3,,,,,,,,6.30,6.3,,,,
7290004133511,מארז יוגורט יופלה לבן 1.5% מעודן 150*8,25.60,25.6,,,,,25.60,25.6,,,,,,,
7290004135058,מאגדת קרלו מיני שוקולד  *8 100 גרם,17.60,17.6,,,,,,,,,,,,,
7290004135614,פיראוס בולגרית מעודנת 5% גביע 250 גרם,28.60,28.6,,28.60,28.6,,28.60,28.6,,28.60,28.6,,28.60,28.6,
7290004136598,מארז הפסקת אוכל חלב מיוחד לילדים ודגנים,12.30,12.3,,,,,12.30,12.3,,12.30,12.3,,,,
7290004136857,ג`לי תנובה בטעם פטל,3,3.0,,3,3.0,,3,3.0,,3,3.0,,3,3.0,
7290004136871,ג`לי תנובה בטעם אפרסק עם חתיכות אפרסק,3,3.0,,3,3.0,,3,3.0,,3,3.0,,3,3.0,
7290004137021,שמנת לבישול 10% שומן 250 מל,10.90,10.9,,,,,,,,10.90,10.9,,,,
7290004137311,גבינה צהובה עמק לייט 9% שומן פרוס 400 ג,38.90,38.9,,38.90,38.9,,38.90,38.9,,38.90,38.9,,38.90,38.9,
7290004147020,גיישנית רצועת רחצה,28.90,28.9,,,,,,,,,,,,,
7290004150839,חומוס ביתי 600  גר`המטבח של אמא,17.90,17.9,,,,,17.90,17.9,,,,,17.90,17.9,
7290004150846,חומוס עם חריף 600  גר`המטבח של אמא שמיר,17.90,17.9,,,,,17.90,17.9,,,,,17.90,17.9,
7290004150853,חומוס גרגירים 600  גר`המטבח של אמא שמיר,17.90,17.9,,,,,17.90,17.9,,,,,17.90,17.9,
7290004150860,טחינה ביתית 600  גר`המטבח של אמא שמיר,17.90,17.9,,,,,17.90,17.9,,,,,17.90,17.9,
7290004150877,חציל במיונז 600  גר`המטבח של אמא שמיר,17.90,17.9,,,,,17.90,17.9,,,,,17.90,17.9,
7290004199203,קיסמי שיניים במבוק מלחיה לב הוסטס (300),3.50,3.5,,,,,3.50,3.5,,3.50,3.5,,3.50,3.5,
7290004199579,פלסטר סאני (100),9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,,9.90,9.9,
7290004219079,לבבות דקל פרוסות וילי פוד (400 גרם),11.90,11.9,,11.90,11.9,,10.90,10.9,,11.90,11.9,,11.90,11.9,
7290004225285,גבינה בסגנון דנאבלו 100 גר,14.90,14.9,,,,,,,,,,,,,
7290004225377,פוסידון סרדין בשמן צמחי,4.90,4.9,10.90,4.90,4.9,10.90,4.90,4.9,10.90,4.90,4.9,10.90,4.90,4.9,10.90
7290004230944,מקלות פילו גבינה שלושת האופים,22.90,22.9,32,,,,22.90,22.9,32,,,,22.90,22.9,32
7290004255428,נר נשמה בפחית 24 שעות מנורה,2,2.0,,,,,2,2.0,,2,2.0,,2,2.0,
7290004255619,נר חימום מנורה שי נר) (100,23.90,23.9,,23.90,23.9,,23.90,23.9,,,,,,,
7290004256371,צהובה ריץ פרוסה 400 גר`,22.90,22.9,,22.90,22.9,,22.90,22.9,,22.90,22.9,,22.90,22.9,
7290004256753,עלי סיגר מרוקאי 450  גר`לפסטיליה,20.90,20.9,,20.90,20.9,,20.90,20.9,,,,,20.90,20.9,
7290004324858,קבב כבש 500 גר` טיבונוויל,18.90,18.9,,18.90,18.9,,18.90,18.9,,18.90,18.9,,,,
7290004537258,אפונה וקוביות גזר שדה בשקית 800 גר`,11.90,11.9,,11.90,11.9,,,,,,,,11.90,11.9,
7290004537265,אפונה עדינה שדה בשקית 600 גר`,11.90,11.9,,11.90,11.9,,10.90,10.9,,11.90,11.9,,,,
7290004537289,שעועית ירוקה שלמה עדינה 600 גר שדה בשקי,11.90,11.9,,11.90,11.9,,10.90,10.9,,11.90,11.9,,11.90,11.9,
7290004537296,שעועית ירוקה שלמה 800 גר שדה בשקית,11.90,11.9,,11.90,11.9,,10.90,10.9,,11.90,11.9,,11.90,11.9,
7290004537319,שעועית ירוקה חתוכה 800גר,11.90,11.9,,11.90,11.9,,10.90,10.9,,11.90,11.9,,11.90,11.9,
7290004537333,חומוס 800 גר` שדה בשקית,10.90,10.9,,,,,9.90,9.9,,10.90,10.9,,10.90,10.9,
7290004537357,גרעיני תירס 800 גר` שדה בשקית,11.90,11.9,,,,,,,,11.90,11.9,,,,
7290004584351,גבינת במרקם שמנת 5% סימפוניה 200 גר (200,11.20,11.2,,11.20,11.2,,11.20,11.2,,11.20,11.2,,11.20,11.2,
7290004584528,יוגורט ביו 1.7% דנונה (200 גרם),4.50,4.5,,4.50,4.5,,4.50,4.5,,4.50,4.5,,4.50,4.5,
7290004603175,מלח הים האדום גס מלח הארץ (500 גרם),8.90,8.9,,,,,8.90,8.9,17,,,,,,
7290004658847,תירוש אדום 187 מל יקבי כרמל,6.90,6.9,,,,,,,,,,,,,
7290004685010,שיפון פלוס לחם הארץ (500 גרם),16.90,16.9,,,,,16.90,16.9,,16.90,16.9,,,,
7290004685027,חיטה מלאה פלוס לחם הארץ (500 גרם),16.90,16.9,,,,,,,,,,,,,
7290004685089,לחם חמניות ברמן,16.90,16.9,,16.90,16.9,,16.90,16.9,,16.90,16.9,,16.90,16.9,
7290004685126,לחם 5 דגנים פרוס לחם הארץ (750 גרם),16.90,16.9,,,,,,,,16.90,16.9,,,,
7290004685157,לחם שיפון 100% פרוס לחם הארץ (750 גרם),16.90,16.9,,16.90,16.9,,16.90,16.9,,16.90,16.9,,16.90,16.9,
7290004685195,לחם 10 דגנים פרוס לחם הארץ (750 גרם),16.90,16.9,,16.90,16.9,,,,,16.90,16.9,,,,
7290004685201,לחם שיפון אגוזים .,16.90,16.9,,,,,,,,16.90,16.9,,,,
7290004685225,לחם פומפרניקל פרוס לחם הארץ (750 גרם),16.90,16.9,,,,,,,,16.90,16.9,,,,
7290004685430,100% לחם כומסין 500 גר לחם הארץ,16.90,16.9,,16.90,16.9,,16.90,16.9,,16.90,16.9,,16.90,16.9,
7290004685447,לחמניות כוסמין 6 יח בשקית מלא 450  גר`E,15.90,15.9,,15.90,15.9,,15.90,15.9,,15.90,15.9,,15.90,15.9,
7290004685454,לחם שיבולת שועל 500  גר`ברמן,16.90,16.9,,,,,,,,16.90,16.9,,,,
7290004685478,פיתות כוסמין 10 בשקית,16.90,16.9,,,,,16.90,16.9,,16.90,16.9,,,,
7290004685492,לחם הארץ גלילי קל 750 גר`,16.90,16.9,,16.90,16.9,,16.90,16.9,,,,,,,
7290004731083,אל סבון נוזלי ג`ינסנג כיף (1 ליטר),14.90,14.9,20,,,,14.90,14.9,20,14.90,14.9,20,14.90,14.9,20
7290004731472,כיף אלסבון שלישיה,21.90,21.9,17.90,21.90,21.9,17.90,21.90,21.9,17.90,21.90,21.9,17.90,21.90,21.9,17.90
7290004731519,סנו מקסימה למייבש 750 מל,19.90,19.9,16.90,,,,19.90,19.9,30,,,,,,
7290004737719,אספרגוס שלם בצנצנת 330 גר`,13.90,13.9,,13.90,13.9,,,,,,,,13.90,13.9,
7290004944032,חומוס אמיתי 400 גר` אסלי שמיר,11.90,11.9,22,11.90,11.9,22,11.90,11.9,22,,,,11.90,11.9,22
7290004944049,סלט טחינה 400 גר` אסלי שמיר,11.90,11.9,22,11.90,11.9,22,11.90,11.9,22,,,,11.90,11.9,22
7290004944056,חציל במיונז 400 גר` אסלי שמיר,11.90,11.9,22,11.90,11.9,22,11.90,11.9,22,,,,11.90,11.9,22
7290004944070,כרוב אדום 400 גר` אסלי שמיר,12.90,12.9,22,12.90,12.9,22,12.90,12.9,22,,,,12.90,12.9,22
7290005008184,פלמוליב תחליב רחצה נטורלס שקדים 500 מל,19.90,19.9,9.90,,,,19.90,19.9,9.90,19.90,19.9,9.90,19.90,19.9,9.90
7290005084355,משחת שיניים דואל קר סנסודיין (75 מל),24.90,24.9,21.90,24.90,24.9,21.90,24.90,24.9,21.90,24.90,24.9,21.90,24.90,24.9,21.90
7290005095641,שלווה מתוק 230 גר`,9.90,9.9,,,,,,,,9.90,9.9,,,,
7290005095658,שלווה בטעמים 150 גר`,9.90,9.9,,,,,,,,,,,9.90,9.9,
7290005095702,שלווה בדבש 210 גר`,9.90,9.9,,,,,,,,9.90,9.9,,,,
7290005095719,שלווה טבעי 140 גר`,9.90,9.9,,,,,,,,9.90,9.9,,,,
7290005174513,חצילים במיונז אחלה (500 גרם),17.50,17.5,,17.50,17.5,,17.50,17.5,,,,,,,
7290005174551,חומוס אחלה (125 גרם),5,5.0,,5,5.0,,5,5.0,,5,5.0,,5,5.0,
7290005174568,חצילים אחלה יום יום 125 גר`,5,5.0,,,,,,,,5,5.0,,5,5.0,
7290005197758,חיוכים שוקו 150,5,5.0,,5,5.0,,5,5.0,,5,5.0,,5,5.0,
7290005200786,תפוצ`יפס 50 גר שמנת בצל,4.40,4.4,,4.40,4.4,,4.40,4.4,,4.40,4.4,,4.40,4.4,
7290005201882,קפה טורקי עלית (200 גרם),18.90,18.9,17.90,18.90,18.9,17.90,18.90,18.9,17.90,18.90,18.9,17.90,18.90,18.9,17.90
7290005230035,צלחת ענק לבן בייסיק 50 יח`,12.90,12.9,20,,,,12.90,12.9,20,,,,,,
7290005230042,צלחת קטנה לבן 50 יח פאלאס,7.50,7.5,10.90,,,,7.50,7.5,10.90,,,,7.50,7.5,10.90
7290005230059,צלחת מרק לבנה 25 יח` פאלאס,6.30,6.3,10.90,,,,6.30,6.3,10.90,,,,6.30,6.3,10.90
7290005230066,ליפתניות לבן 25 יח פאלאס,4,4.0,10,,,,4,4.0,10,,,,4,4.0,10
7290005230455,צלחת מרכזית חד פעמי 30  יח`פאלאס,10.90,10.9,,,,,10.90,10.9,,,,,10.90,10.9,
7290005230738,צלחות גדולה לבן קלאסיק 125  גר`פאלאס,41.90,41.9,,,,,41.90,41.9,,,,,,,
7290005230752,צלחות קטנות לבן 7 עבות 125 יח`,25.90,25.9,,,,,25.90,25.9,,,,,,,
7290005230769,צלחת גדולה לבן 50 יח פאלאס,10.90,10.9,16.90,,,,10.90,10.9,16.90,10.90,10.9,16.90,10.90,10.9,16.90
7290005230806,כוסות לשתיה קרה 100/180,5.90,5.9,12,,,,,,,,,,5.90,5.9,12
7290005230813,קערית אובלית לבן 25 יח פאלאס,5.90,5.9,12.90,,,,5.90,5.9,12.90,,,,5.90,5.9,12.90
7290005287206,טונה סטאריקיסט בשמן 160  גר`רביעייה,25.90,25.9,48,25.90,25.9,,25.90,25.9,48,25.90,25.9,,25.90,25.9,
7290005287251,טונה סטארקיסט במים 160  גר`רביעייה,25.90,25.9,48,25.90,25.9,,25.90,25.9,48,25.90,25.9,,25.90,25.9,
7290005287527,ס.ק בשמן עם לימון פ.ק 160 גרם בי,8.90,8.9,,8.90,8.9,,,,,8.90,8.9,,,,
7290005287534,ס.ק בשמן עישון פ.ק 160 גרם בי,8.90,8.9,,,,,,,,,,,,,
7290005326523,אוליביה פסטו פטרוזיליה ונענע (180 גרם),15.90,15.9,,15.90,15.9,,,,,15.90,15.9,,,,
7290005403972,תחתיות ארטישוק 400 גר` שדה בשקית,11.90,11.9,,11.90,11.9,,,,,,,,,,
7290005403989,במיה קפואה 600 גר` שדה בשקית,8.90,8.9,,,,,7.90,7.9,,8.90,8.9,,8.90,8.9,
7290005418716,נטורל קרם לחות 400 מל,23.90,23.9,,,,,23.90,23.9,20.90,,,,23.90,23.9,
7290005423055,מתז פורטה פלוס לימון 1 ליטר XL סנו,18.90,18.9,30,,,,18.90,18.9,30,18.90,18.9,30,18.90,18.9,30
7290005423253,סנו מקסימה למייבש 750 מל,19.90,19.9,16.90,,,,19.90,19.9,30,,,,,,
7290005423505,מי פה להלבנת שיניים אורביטול (500 מל),25.90,25.9,,25.90,25.9,,25.90,25.9,,25.90,25.9,,,,
7290005423635,דוחה חרקים 2 ליטר,23.90,23.9,,,,,23.90,23.9,,23.90,23.9,,23.90,23.9,
