store_id,store_name,city,city_norm,proposed_canonical,match_layer,confidence
687,קרפור מרקט  תל כביר (1228),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
688,קרפור סיטי  מגדלי דוד (1236),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
689,קרפור מעלה אילת (1252),אילת,אילת,אילת,L1,1.0
690,"קרפור סיטי  בילינסון פ""ת (1279)",פתח תקווה,פתח תקווה,פתח תקווה,L1,1.0
691,קרפור סיטי  מאוז אביב (1295),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
692,קרפור סיטי  רמת אביב ג (1309),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
693,בעיר שדרות B (1340),שדרות,שדרות,שדרות,L1,1.0
694,קרפור סיטי  קיראון (1430),קריית אונו,קריית אונו,קריית אונו,L1,1.0
695,קרפור כרמליה (2040),חיפה,חיפה,חיפה,L1,1.0
696,קרפור סיטי  כפר יונה דרום (2070),כפר יונה,כפר יונה,כפר יונה,L1,1.0
697,קרפור מרקט   אילת (2150),אילת,אילת,אילת,L1,1.0
698,קרפור סיטי  אבן יהודה (2180),אבן יהודה,אבן יהודה,אבן יהודה,L1,1.0
699,קרפור סיטי  גני העיר רחובות (2190),רחובות,רחובות,רחובות,L1,1.0
700,קרפור מרקט  גני אביב לוד (2230),לוד,לוד,לוד,L1,1.0
701,קרפור מרקט  בית וגן ק.אתא (2240),קרית אתא,קריית אתא,קריית אתא,L1,1.0
702,קרפור מרקט  גן יבנה (2310),גן יבנה,גן יבנה,גן יבנה,L1,1.0
703,קרפור סיטי  קניון גבעתיים (2320),גבעתיים,גבעתיים,גבעתיים,L1,1.0
704,"קרפור סיטי  אשדוד י""ב (2330)",אשדוד,אשדוד,אשדוד,L1,1.0
705,קרפור מרקט  עיר ימים נתניה (2410),נתניה,נתניה,נתניה,L1,1.0
706,קרפור מרקט  נאות חן חדרה (2470),חדרה,חדרה,חדרה,L1,1.0
707,קרפור סיטי  כפר שלם (2490),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
708,בעיר פארק הירקון (2518),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
709,בעיר בת גלים (2530),חיפה,חיפה,חיפה,L1,1.0
710,קרפור מרקט  מודיעין שמשוני (2540),מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,מודיעין-מכבים-רעות,L1,1.0
711,קרפור סיטי לב נתניה (2577),נתניה,נתניה,נתניה,L1,1.0
712,קרפור מרקט מגדל העמק (2730),מגדל העמק,מגדל העמק,מגדל העמק,L1,1.0
713,קרפור מרקט  שרונה רחובות (2740),רחובות,רחובות,רחובות,L1,1.0
714,"קרפור  עמישב פ""ת (2750)",פתח תקווה,פתח תקווה,פתח תקווה,L1,1.0
715,קרפור מרקט  אשדוד ח (2840),אשדוד,אשדוד,אשדוד,L1,1.0
716,קרפור סיטי  נוף זכרון (2960),זכרון יעקב,זכרון יעקב,זכרון יעקב,L1,1.0
717,קרפור סיטי  צפון באר-שבע (2976),באר שבע,באר שבע,באר שבע,L1,1.0
718,קרפור מרקט בית אליעזר (3020),חדרה,חדרה,חדרה,L1,1.0
719,קרפור סיטי  כפר יונה (3050),כפר יונה,כפר יונה,כפר יונה,L1,1.0
720,קרפור סיטי  בר אילן (3174),גבעת שמואל,גבעת שמואל,גבעת שמואל,L1,1.0
721,קרפור סיטי  רמות צהלה (3180),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
722,קרפור סיטי לב אשקלון (3210),אשקלון,אשקלון,אשקלון,L1,1.0
723,קרפור סיטי  אלוני השרון נתניה (3280),נתניה,נתניה,נתניה,L1,1.0
724,קרפור מרקט  קניון אביה (3300),באר שבע,באר שבע,באר שבע,L1,1.0
725,קרפור מרקט  אלנבי ירושלים (3420),ירושלים,ירושלים,ירושלים,L1,1.0
726,קרפור סיטי  מזכרת בתיה (3440),מזכרת בתיה,מזכרת בתיה,מזכרת בתיה,L1,1.0
727,קרפור סיטי  גבעת סביון (3506),,,,NULL,0.0
728,קרפור סיטי  רמות אלון (3580),חיפה,חיפה,חיפה,L1,1.0
729,"קרפור מרקט  שטמפפר פ""ת (3600)",פתח תקווה,פתח תקווה,פתח תקווה,L1,1.0
730,שוק מהדרין הרצל חיפה (3610),חיפה,חיפה,חיפה,L1,1.0
731,קרפור מרקט בית שמש (3680),בית שמש,בית שמש,בית שמש,L1,1.0
732,קרפור מרקט  נווה זאב (3700),באר שבע,באר שבע,באר שבע,L1,1.0
733,קרפור מרקט  אפרידר אשקלון (3740),אשקלון,אשקלון,אשקלון,L1,1.0
734,קרפור סיטי  בית הכרם (3850),ירושלים,ירושלים,ירושלים,L1,1.0
735,קרפור סיטי  תל ברוך (3990),תל אביב-יפו,תל אביב-יפו,תל אביב -יפו,L3,0.957
736,קרפור מרקט לב הרצלה (4110),הרצלייה,הרצליה,הרצלייה,L1,1.0
737,קרפור הדר הרצליה (4120),הרצלייה,הרצליה,הרצלייה,L1,1.0
738,קרפור סיטי  נווה אמירים (4130),הרצלייה,הרצליה,הרצלייה,L1,1.0
